task,task_type,split,metric,model,reference,model_mean,reference_mean,n_pairs,mean_diff,diff_ci95_low,diff_ci95_high,t_stat,t_p,wilcoxon_stat,wilcoxon_p,reference_better,t_p_holm,wilcoxon_p_holm,significant_t,significant_wilcoxon,significant_t_holm,significant_wilcoxon_holm
esol,reg,scaffold,r2,mat_large_pretrained,mat,-0.2749346752677795,0.0995427462772871,5,-0.3744774215450666,-1.3681240847890592,0.6191692416989261,-1.0463639063220884,0.3544542335925979,4.0,0.4375,True,0.7089084671851958,0.875,False,False,False,False
esol,reg,scaffold,r2,mat_large_scratch,mat,0.23055171878406777,0.0995427462772871,5,0.1310089725067807,-0.25567941171806496,0.5176973567316264,0.940652047727254,0.40014220475453555,5.0,0.625,False,0.7089084671851958,0.875,False,False,False,False
estrogen-alpha,clf,scaffold,roc_auc,mat_large_pretrained,mat,0.9475255650002714,0.9467423231008445,5,0.0007832418994268453,-0.007076077021182118,0.008642560820035809,0.27669422246590736,0.7957240916355568,6.0,0.8125,False,0.7957240916355568,0.8125,False,False,False,False
estrogen-alpha,clf,scaffold,roc_auc,mat_large_scratch,mat,0.9335638163500827,0.9467423231008445,5,-0.013178506750761775,-0.02157043134818795,-0.0047865821533356005,-4.360072607562602,0.012061447702655331,0.0,0.0625,True,0.024122895405310662,0.125,True,False,True,False
estrogen-alpha,clf,scaffold,pr_auc,mat_large_pretrained,mat,0.9395655307946174,0.9313727415870137,5,0.008192789207603779,-0.0017314168874387418,0.0181169953026463,2.292055331733959,0.08366746300914703,1.0,0.125,False,0.1521962648494518,0.25,False,False,False,False
estrogen-alpha,clf,scaffold,pr_auc,mat_large_scratch,mat,0.9210708043018274,0.9313727415870137,5,-0.01030193728518609,-0.022326554161782877,0.001722679591410696,-2.378683964990059,0.0760981324247259,1.0,0.125,True,0.1521962648494518,0.25,False,False,False,False
estrogen-alpha,clf,scaffold,f1,mat_large_pretrained,mat,0.8602981149527839,0.883353813643839,5,-0.023055698691055015,-0.05463705480483193,0.008525657422721895,-2.02691998238069,0.11260678595325534,1.0,0.125,True,0.11260678595325534,0.125,False,False,False,False
estrogen-alpha,clf,scaffold,f1,mat_large_scratch,mat,0.8609566594468137,0.883353813643839,5,-0.02239715419702528,-0.044448163463156797,-0.00034614493089376447,-2.8200282531376577,0.04782675364104488,0.0,0.0625,True,0.09565350728208977,0.125,True,False,False,False
estrogen-beta,clf,random,roc_auc,mat_large_pretrained,mat,0.8866594827586207,0.8977316810344828,5,-0.011072198275862099,-0.02955673604487144,0.007412339493147242,-1.6630846327321704,0.17162913741551003,2.0,0.1875,True,0.17162913741551003,0.1875,False,False,False,False
estrogen-beta,clf,random,roc_auc,mat_large_scratch,mat,0.8731034482758622,0.8977316810344828,5,-0.024628232758620604,-0.05463365089936006,0.00537718538211885,-2.2788862988549288,0.08489079767647047,0.0,0.0625,True,0.16978159535294093,0.125,False,False,False,False
estrogen-beta,clf,random,pr_auc,mat_large_pretrained,mat,0.9062928942155815,0.9224388869601446,5,-0.01614599274456332,-0.0493144136971404,0.017022428208013765,-1.3515404483166678,0.24789944119857066,3.0,0.3125,True,0.24789944119857066,0.375,False,False,False,False
estrogen-beta,clf,random,pr_auc,mat_large_scratch,mat,0.8887280855011721,0.9224388869601446,5,-0.03371080145897267,-0.08002426943103239,0.01260266651308705,-2.0209281187823116,0.11337779933423747,2.0,0.1875,True,0.22675559866847494,0.375,False,False,False,False
estrogen-beta,clf,random,f1,mat_large_pretrained,mat,0.7239555446836201,0.8598075492375564,5,-0.13585200455393637,-0.5354987671132616,0.26379475800538893,-0.9437975442603382,0.3987129169219715,6.0,0.8125,True,0.3987129169219715,0.8125,False,False,False,False
